username	email	password	isAdmin
CharlieJones	charliejones@gmail.com	c270cc854f5a3530746e4368e3304a0f4f5d6296bcb96296006240257a0aea7c	1
DianaBrown	dianabrown@gmail.com	0d764d478f3e1bc5e2b106f8c2196ea950a3c467f139e1fd0e43bf24daa260d7	1
CharlieJohnson	charliejohnson@gmail.com	76bcc2ed17e28c0ada761e35cd7605980ffc837782460166a2e1285636b4780e	1
EdwardJohnson	edwardjohnson@gmail.com	bb5d2489c9f7876a6efc7352a4e40030de9ed5164e0cffc31d2edaf1e778dc8b	1
CharlieJones	charliejones@gmail.com	e796c07c819f55a54e2291835ee92c1c6663d7b7d820f3c26a082edf43cc1883	1
CharlieBrown	charliebrown@gmail.com	65b1d1c101fb08720eb1243e8aa530e6187229e38cee1b190c295de5b63e50e6	1
CharlieWilliams	charliewilliams@gmail.com	758da631d5dc724c0b496359c05c927dad3da1be7185925bc99bf8cf22e16f44	1
DianaJohnson	dianajohnson@gmail.com	7d27374b3800743e5ee80848bac5d94cc10466817b07667221fb7172cddfac2f	1
BobWilliams	bobwilliams@gmail.com	1bb4841e15f883e44aefc92b2c9479270c8cda18f236746f5842b2c558ec5aae	1
EdwardJohnson	edwardjohnson@gmail.com	0a5a61e791573eb5d20972187f0c667a518c7e6c97fb7ce217e7850067c9fa9f	1
BobJohnson	bobjohnson@gmail.com	56909f66610e3145fedd09bf17bffd1a71338113117b1d491d9a8fc53ebf2f1a	1
BobBrown	bobbrown@gmail.com	9e5f5430f1883b8f63ef7beca15fbc2e3da41f6af9ad081fe1b3e435857d9e97	1
CharlieSmith	charliesmith@gmail.com	681c67da8edcc4ef77f9e363218bc224d414e7fd300f755214343a7729b20f0b	1
EdwardBrown	edwardbrown@gmail.com	9ae0aa65fcacc57b25c81e490715c7288b26be5c13024b64893be5f4c74a3e3e	1
DianaJohnson	dianajohnson@gmail.com	458c2db7034f38c7163711f21159181ab6c4ce5f2d867b402ab0365946c8c4cd	1
AliceJohnson	alicejohnson@gmail.com	1bcbcd1d2c258e5590aed219ef77e8605a3c47b4d1d420996c8115b6e4b6b0a9	1
